customer_id,salutation,first_name,last_name,birth_day,birth_month,birth_year,birth_country,email_address
79,Mr.,Steve,Harvey,9,5,1995,Thailand,kentchristine@yahoo.com
80,Mr.,Craig,MD,12,2,2016,Lebanon,scott70@gmail.com
81,Ms.,Regina,Blankenship,13,9,2016,Afghanistan,tammy59@hotmail.com
82,Ms.,Gabriel,Meza,19,6,1999,China,jlambert@gmail.com
83,Mrs.,Nicholas,Gutierrez,21,8,1948,Micronesia,jeffrey71@gmail.com
84,Mrs.,Kathryn,Thomas,13,7,1990,Macedonia,robert51@yahoo.com
85,Dr.,Thomas,Garcia,14,11,1998,Netherlands Antilles,heatherle@yahoo.com
86,Ms.,John,Barajas,16,9,2021,Austria,timothycastro@gmail.com
87,Dr.,April,Garza,19,11,1962,Cape Verde,shess@gmail.com
88,Ms.,Sara,Baker,30,1,1992,Papua New Guinea,martinezpaul@hotmail.com
89,Dr.,David,Mccarty,29,11,1974,Madagascar,justinjones@gmail.com
90,Mr.,Eric,Wilson,12,8,1927,Jamaica,kimberly88@yahoo.com
91,Ms.,Mark,George,12,6,1925,Kyrgyz Republic,ysmith@hotmail.com
92,Ms.,Jennifer,Bennett,23,1,1989,Mauritius,dfrazier@yahoo.com
93,Dr.,Alexandra,Terry,6,3,1996,Mauritania,vosborne@gmail.com
94,Mr.,Adam,Bowen,21,8,1967,Norfolk Island,emilypark@gmail.com
95,Dr.,Monica,White,8,5,2013,Denmark,bradleydavis@gmail.com
96,Ms.,Daniel,Bryant,26,4,1970,Mozambique,michaelsanders@gmail.com
97,Ms.,Richard,Davis,21,5,2007,China,ubrooks@yahoo.com
98,Ms.,Michelle,Estes,22,11,1978,Norfolk Island,fordjulia@hotmail.com
99,Mrs.,William,Gentry,11,9,1910,Austria,gonzalesjeffrey@yahoo.com
100,Mr.,Bradley,Ross,11,2,1979,Togo,kwilson@gmail.com
